name,year,genre
I Would Be Called John: Pope John XXIII,(1987 TV Movie),"<span class=""genre"">
Biography, Drama            </span>"
The Treasure of the Golden Suns,(1987–1990),"<span class=""genre"">
Animation, Adventure, Comedy            </span>"
Grateful Dead: Ticket to New Year's Eve Concert,(1987 Video),"<span class=""genre"">
Documentary, Music            </span>"
Hollywood the Golden Years: The RKO Story,(1987– ),"<span class=""genre"">
Documentary, History            </span>"
Put More Blood Into the Music,(1987),"<span class=""genre"">
Documentary, Music            </span>"
Anne of Avonlea,(1987),"<span class=""genre"">
Drama, Family, Romance            </span>"
Dokken: Dream Warriors,(1987 Video),"<span class=""genre"">
Short, Music            </span>"
XTC: Dear God,(1987 Video),"<span class=""genre"">
Short, Music            </span>"
"The 1987 Joseph Lundgren, Jr., Sax Clinic Telethon'",(1987 Video),"<span class=""genre"">
Short, Comedy            </span>"
The Trail of Three Wizards,(1987),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Honor Among Thieves,(1987),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Fog Bound,(1986–1988),"<span class=""genre"">
Comedy            </span>"
Dropper,(1987 Video Game),"<span class=""genre"">
Family            </span>"
Down at Fraggle Rock... Behind the Scenes,(1987 TV Special),"<span class=""genre"">
Documentary            </span>"
Video Activity,(1986–1991),"<span class=""genre"">
Comedy            </span>"
Snow Way to Treat a Lady: Part 1,(1986–1993),"<span class=""genre"">
Comedy, Family            </span>"
Sitting Ducks,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
Nowhere to Run,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
Battling Baker Brothers,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
Heart of the Matter,(1985–1988),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Personal Demons,(1985–1988),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Homecoming,(1985–1988),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Top Secret,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Tux for Two,(1986–1993),"<span class=""genre"">
Comedy, Family            </span>"
Almost In-Laws,(1986–1988),"<span class=""genre"">
Comedy            </span>"
When Thieves Fall Out,(1984–1996),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Earth Angel,(1987–1997),"<span class=""genre"">
Comedy            </span>"
Mother's Day,(1984–1989),"<span class=""genre"">
Comedy            </span>"
Mixed Emotions,(1983–1988),"<span class=""genre"">
Drama, Romance            </span>"
Fallen Angel,(1983–1988),"<span class=""genre"">
Drama, Romance            </span>"
It Ain't Over Till It's Over,(1981–1987),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
"With Love, the Claus",(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
Parents' Day,(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
All the Colors of the Heart,(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
The Sisters,(1985–1992),"<span class=""genre"">
Comedy, Drama            </span>"
Stranded,(1986–1993),"<span class=""genre"">
Comedy            </span>"
Betrayals,(1985–1987),"<span class=""genre"">
Drama            </span>"
R.E.M.: Succumbs,(1987 Video),"<span class=""genre"">
Music            </span>"
DTV 'Doggone' Valentine,(1987 TV Movie),"<span class=""genre"">
Animation, Family            </span>"
Frog and Toad Together,(1987),"<span class=""genre"">
Animation, Short, Family            </span>"
A Woman's Guide to Firearms,(1987 Video),
Maniac Mansion,(1987 Video Game),"<span class=""genre"">
Adventure, Comedy, Mystery            </span>"
Carmen,(1977– ),"<span class=""genre"">
Music            </span>"
Choice Chance Control,(1987),"<span class=""genre"">
Documentary, Comedy, Musical            </span>"
Dancin' in the Street,(1987 Video),"<span class=""genre"">
Documentary            </span>"
Kontora,(1987 Video Game),"<span class=""genre"">
Action, Adventure, Family            </span>"
The Doors: Live at the Hollywood Bowl,(1987 Video),"<span class=""genre"">
Documentary, Music            </span>"
Still Killing Us Softly: Advertising's Image of Women,(1987),"<span class=""genre"">
Documentary, Short            </span>"
Unsolved Mysteries,(1987–2010),"<span class=""genre"">
Documentary, Crime, Drama            </span>"
James Stewart: A Wonderful Life,(1971– ),"<span class=""genre"">
Music            </span>"
Full Metal Jacket,(1987),"<span class=""genre"">
Drama, War            </span>"
Tour of Duty,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
Honeymoon Suite: Lethal Weapon,(1987 Video),"<span class=""genre"">
Short, Music            </span>"
Tim Conway/Harry Anderson/Diane Schuur,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Bedknobs and Broomsticks,(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
The Personality Kid,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Transformers: The Return of Optimus Prime,(1987 Video),"<span class=""genre"">
Animation, Action, Sci-Fi            </span>"
Episode #26.115,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Shark Week,(1987– ),"<span class=""genre"">
Documentary            </span>"
The Overthrow of Merklynn,(1987),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Nightmare on Al's Street,(1987–1997),"<span class=""genre"">
Comedy            </span>"
Night on Bald Pate/Mouse from Another House,(1987–1988),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Boston Tea Party,(1986–1991),"<span class=""genre"">
Comedy, Family            </span>"
Babes in the Woods,(1986–1991),"<span class=""genre"">
Comedy, Family            </span>"
A Room with No View,(1986–1991),"<span class=""genre"">
Comedy, Family            </span>"
Episode #2.2,(1987–1990),"<span class=""genre"">
Comedy, Music            </span>"
Episode #26.37,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Among Friends,(1985–1988),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Look into My Eyes,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Let It Snow,(1984–1992),"<span class=""genre"">
Comedy            </span>"
Witness for the Defense,(1984–1996),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Yo-Yo man,(1988 Video),"<span class=""genre"">
Short, Comedy            </span>"
Peter Creek Road,(1987–1988),"<span class=""genre"">
Drama            </span>"
Big Bird's Favorite Party Games,(1988 Video),"<span class=""genre"">
Short            </span>"
Bette Davis/Martin Short,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
The 5th Annual American Cinema Awards,(1988 TV Special),
Live in Concert Belinda Carlisle,(1988 Video),"<span class=""genre"">
Music            </span>"
A Man Called Norman,(1988 Video),"<span class=""genre"">
Drama            </span>"
We Have Forever: Part 2,(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
A Happy Life,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
Powel Crosley and the 20th Century,(1988 TV Special),"<span class=""genre"">
Documentary, Biography            </span>"
Grampa's Silly Scaries,(1988 Video),"<span class=""genre"">
Animation            </span>"
Double Take,(1983–1988),"<span class=""genre"">
Drama, Romance            </span>"
We Have Forever: Part 1,(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
A Mother's Love,(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
Who Shot President Kennedy?,(1988),"<span class=""genre"">
Documentary, Biography, History            </span>"
Kennywood Memories,(1988),"<span class=""genre"">
Documentary            </span>"
The Raven,(1988),"<span class=""genre"">
Short, Horror            </span>"
"Peter, Paul & Mary: Holiday Concert",(1988 TV Special),"<span class=""genre"">
Music            </span>"
Retribution: Part 2,(1987–1988),"<span class=""genre"">
Action, Sci-Fi            </span>"
Guns N Roses: Live at the Ritz,(1988 Video),"<span class=""genre"">
Documentary, Music            </span>"
Michael Jackson: Smooth Criminal,(1988 Video),"<span class=""genre"">
Short, Music            </span>"
Hulkamania 3,(1988 Video),"<span class=""genre"">
Sport            </span>"
Accounts Receivable,(1987–1991),"<span class=""genre"">
Drama, Romance            </span>"
Pilot,(1988–1993),"<span class=""genre"">
Comedy, Drama, Family            </span>"
God Bless the Child,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
Roy Orbison and Friends: A Black and White Night,(1988 TV Special),"<span class=""genre"">
Documentary, Music            </span>"
Irving Berlin's 100th Birthday Celebration,(1988 TV Special),"<span class=""genre"">
Music            </span>"
Al TV,(1988 TV Special),"<span class=""genre"">
Comedy, Music            </span>"
Joseph Campbell and the Power of Myth,(1988– ),"<span class=""genre"">
Documentary            </span>"
Magic in the Magic Kingdom,(1988 TV Special),"<span class=""genre"">
Family, Fantasy            </span>"
Pilot,(1988–1989),"<span class=""genre"">
Drama            </span>"
Fleetwood Mac: Everywhere,(1988 Video),"<span class=""genre"">
Short, Music            </span>"
Resolutions: Part II,(1980–1988),"<span class=""genre"">
Action, Adventure, Crime            </span>"
Togetherness,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Undone,(1987–1991),"<span class=""genre"">
Drama, Romance            </span>"
Nancy's First Date,(1987–1991),"<span class=""genre"">
Drama, Romance            </span>"
"I'm in Love, I'm in Love, I'm in Love, I'm in Love, I'm in Love with a Wonderful Gynecologist",(1987–1991),"<span class=""genre"">
Drama, Romance            </span>"
Another Day in the Life,(1984–1992),"<span class=""genre"">
Comedy            </span>"
The Trip: Part 2,(1985–1990),"<span class=""genre"">
Comedy, Family            </span>"
Pilot: Part 1,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Contest of Wills,(1983–1988),"<span class=""genre"">
Drama, Romance            </span>"
Aftershocks,(1983–1988),"<span class=""genre"">
Drama, Romance            </span>"
"Ashes, Ashes",(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
People of the Forest: The Chimps of Gombe,(1988 TV Movie),"<span class=""genre"">
Documentary            </span>"
Live! From London,(1988 TV Special),
"Golf, I Hate the Game!",(1988),"<span class=""genre"">
Short            </span>"
The Street,(1988– ),"<span class=""genre"">
Drama            </span>"
Escape to Ski,(1988),"<span class=""genre"">
Documentary            </span>"
Surviving Edged Weapons,(1988),"<span class=""genre"">
Documentary, Action, Crime            </span>"
1988 NBA All-Star Game,(1988 TV Special),"<span class=""genre"">
Sport            </span>"
Come Fly with Me,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
The Final Season,(1988),"<span class=""genre"">
Documentary            </span>"
My Father's Office,(1988–1993),"<span class=""genre"">
Comedy, Drama, Family            </span>"
Under Siege,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
The Hill,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
Unfinished Business,(1980–1988),"<span class=""genre"">
Action, Adventure, Crime            </span>"
Prisoners,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Double Dare: The Messiest Moments,(1988 Video),"<span class=""genre"">
Comedy            </span>"
The Tribal Trials,(1988 Video),"<span class=""genre"">
Documentary, Short, Sport            </span>"
Entertaining the Troops,(1988),"<span class=""genre"">
Documentary, War            </span>"
Life on the Flipside,(1988 TV Movie),"<span class=""genre"">
Comedy            </span>"
Pilot,(1988–1991),"<span class=""genre"">
Drama, History, War            </span>"
Sunday Night,(1988–1990),"<span class=""genre"">
Music            </span>"
The Freddy Krueger Special,(1988 TV Movie),"<span class=""genre"">
Horror, Music            </span>"
Bye Bye Brindles,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
I'll Drink to That,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Heart and Soul,(1988 TV Movie),"<span class=""genre"">
Comedy            </span>"
Travelin' Trains,(1988),"<span class=""genre"">
Short            </span>"
Jane Wiedlin: Rush Hour,(1988 Video),"<span class=""genre"">
Short, Music            </span>"
"Play It Again, Sam",(1986–1988),"<span class=""genre"">
Comedy            </span>"
Inside the NBA,(1988– ),"<span class=""genre"">
Sport, Talk-Show            </span>"
Dance with Me,(1988–1993),"<span class=""genre"">
Comedy, Drama, Family            </span>"
Roadrunner,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
"I'm OK, You're Catatonic/Schizophrenic",(1984–1992),"<span class=""genre"">
Comedy            </span>"
Resolutions: Part I,(1980–1988),"<span class=""genre"">
Action, Adventure, Crime            </span>"
Fate,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
...And Then You Die,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Back to Oakland,(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
Gemini and Counting,(1987–1988),"<span class=""genre"">
Action, Sci-Fi            </span>"
Pretenders: The Singles,(1988 Video),"<span class=""genre"">
Music            </span>"
A Walk in the Woods,(1988 TV Movie),"<span class=""genre"">
Drama            </span>"
Lose 10 Lbs. in 3 Weeks,(1988 Video),
Communion in Room 410,(1988),"<span class=""genre"">
Short            </span>"
Il trovatore,(1977– ),"<span class=""genre"">
Music            </span>"
La Bohème,(1988 TV Movie),"<span class=""genre"">
Drama, Romance, Music            </span>"
The True Story of Frank Zappa's 200 Motels,(1988 Video),"<span class=""genre"">
Comedy, Documentary            </span>"
Tidy Endings,(1988 TV Movie),"<span class=""genre"">
Drama            </span>"
George Carlin/Mark Harmon,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Lexicon,(1988),"<span class=""genre"">
Documentary, Biography            </span>"
My Favorite Martian,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
"Here Today, Gone Tomorrow",(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Divided We Stand,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
"Big J, the D.J.",(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Lerner and Loewe: Broadway's Last Romantics,(1988 TV Movie),"<span class=""genre"">
Biography            </span>"
Atlantic Records 40th Anniversary: It's Only Rock 'n' Roll,(1988 TV Special),"<span class=""genre"">
Music            </span>"
Double Your Pleasure,(1985–1990),"<span class=""genre"">
Comedy            </span>"
"Hair Today, Gone Tomorrow",(1986–1991),"<span class=""genre"">
Comedy, Family            </span>"
Revenge of the Russell Sisters,(1986–1988),"<span class=""genre"">
Comedy            </span>"
Earthquake,(1986–1988),"<span class=""genre"">
Comedy            </span>"
Microprose Soccer,(1988 Video Game),
Pipe Dreams,(1986–1993),"<span class=""genre"">
Comedy, Family            </span>"
Swingers,(1988–1993),"<span class=""genre"">
Comedy, Drama, Family            </span>"
The Older Woman,(1985–1988),"<span class=""genre"">
Comedy            </span>"
Save Baby Mark,(1986–1991),"<span class=""genre"">
Comedy, Family            </span>"
Pushin' Too Hard,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
Angel of Mercy,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
Mommie Dearest,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
The Trip: Part 1,(1985–1990),"<span class=""genre"">
Comedy, Family            </span>"
Graduation,(1985–1990),"<span class=""genre"">
Comedy, Family            </span>"
He Thought He Could,(1987–1997),"<span class=""genre"">
Comedy            </span>"
Pilot: Part 2,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Don't Look Back: Part 1,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
A Dolphin Song for Lee: Part 1,(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
Scared Straight,(1985–1992),"<span class=""genre"">
Comedy, Drama            </span>"
Reservations for Eight,(1986–1993),"<span class=""genre"">
Comedy            </span>"
Retribution: Part 1,(1987–1988),"<span class=""genre"">
Action, Sci-Fi            </span>"
Judgement,(1987–1988),"<span class=""genre"">
Action, Sci-Fi            </span>"
A Summoning of Thunder: Part 1,(1987–1988),"<span class=""genre"">
Action, Sci-Fi            </span>"
Down to a Sunless Sea,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
Dead of Winter,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
A Funny Thing Happened on the Way to the Pageant,(1985–1990),"<span class=""genre"">
Comedy            </span>"
Caveman Ugh-Lympics,(1988 Video Game),"<span class=""genre"">
Comedy, Sport            </span>"
The Red Herring,(1988),"<span class=""genre"">
Short, Comedy            </span>"
Encyclopedia,(1988– ),"<span class=""genre"">
Family            </span>"
Deep Purple: Bad Attitude,(1988 Video),
The Silence at Bethany,(1981– ),"<span class=""genre"">
Comedy, Drama, Romance            </span>"
Mystery Science Theater 3000,(1988–1999),"<span class=""genre"">
Comedy, Sci-Fi            </span>"
American Experience,(1988– ),"<span class=""genre"">
Documentary, Biography, History            </span>"
Almost Grown,(1988–1989),"<span class=""genre"">
Drama            </span>"
Michael Jackson: Smooth Criminal (II),(1988),"<span class=""genre"">
Action, Crime, Fantasy            </span>"
Ozzy Osbourne: Miracle Man,(1988 Video),"<span class=""genre"">
Short, Music            </span>"
Fright Night,(1988 Video Game),"<span class=""genre"">
Action, Horror            </span>"
Love at First Byte,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Shades of Grey,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
The Art of Love,(1986–1988),"<span class=""genre"">
Comedy            </span>"
Grand Prize,(1986–1988),"<span class=""genre"">
Comedy            </span>"
Good Neighbor Sam,(1986–1988),"<span class=""genre"">
Comedy            </span>"
Agnes Escapes from the Nursing Home,(1988),"<span class=""genre"">
Animation, Short            </span>"
Snow White and the Motor City Dwarfs/Don't Touch That Dial,(1987–1988),"<span class=""genre"">
Animation, Action, Adventure            </span>"
The Phone Call,(1988–1993),"<span class=""genre"">
Comedy, Drama, Family            </span>"
Our Miss White,(1988–1993),"<span class=""genre"">
Comedy, Drama, Family            </span>"
Christmas,(1988–1993),"<span class=""genre"">
Comedy, Drama, Family            </span>"
USO Down,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
Gray-Brown Odyssey,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
Blood Brothers,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
"The Good, the Bad and the Auditor",(1986–1988),"<span class=""genre"">
Comedy            </span>"
Mr. Penroy's Vacation,(1984–1996),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
The Counselor,(1985–1990),"<span class=""genre"">
Comedy, Family            </span>"
Just Married... with Children,(1987–1997),"<span class=""genre"">
Comedy            </span>"
The Negotiator,(1985–1992),"<span class=""genre"">
Action, Adventure, Crime            </span>"
Road Kill,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Blind Spot: Part 2,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Time in a Bottle,(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
If You Like Pilgrim Coladas,(1987–1993),"<span class=""genre"">
Comedy            </span>"
A Stepping Stone,(1987–1993),"<span class=""genre"">
Comedy            </span>"
Last Rites,(1986–1988),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
New Order: Part One - The Sky Shall Swallow Them,(1987–1988),"<span class=""genre"">
Action, Sci-Fi            </span>"
New Order: Part Two - The Land Shall Burn,(1987–1988),"<span class=""genre"">
Action, Sci-Fi            </span>"
To Reign in Hell,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
The Alchemist,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
Remember Love,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
Chamber Music,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
Best Friends,(1985–1990),"<span class=""genre"">
Comedy            </span>"
Nixon in China,(1971– ),"<span class=""genre"">
Music            </span>"
Neuromancer,(1988 Video Game),"<span class=""genre"">
Action, Adventure, Sci-Fi            </span>"
Roger Waters: Radio K.A.O.S.,(1988 Video),"<span class=""genre"">
Music            </span>"
Zak McKracken and the Alien Mindbenders,(1988 Video Game),"<span class=""genre"">
Adventure, Comedy, Sci-Fi            </span>"
Meet the Raisins!,(1988 TV Special),"<span class=""genre"">
Animation, Short, Comedy            </span>"
Il barbiere di Siviglia,(1977– ),"<span class=""genre"">
Music            </span>"
Beckett Directs Beckett: Waiting for Godot by Samuel Beckett,(1988 TV Movie),"<span class=""genre"">
Drama            </span>"
Legendary Ladies of Rock & Roll,(1988 TV Special),"<span class=""genre"">
Music            </span>"
State of Fear,(1988 TV Movie),
Open Admissions,(1988 TV Movie),"<span class=""genre"">
Drama            </span>"
Grampa's Monster Movies,(1988 Video),"<span class=""genre"">
Horror            </span>"
Book-It,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Episode dated 12 December 1988,(1973– ),"<span class=""genre"">
Drama, Romance            </span>"
Barry Manilow: Big Fun on Swing Street,(1988 TV Special),"<span class=""genre"">
Music            </span>"
Historia,(1988 Video),"<span class=""genre"">
Documentary, Music            </span>"
The Perfect Crime,(1979–1993),"<span class=""genre"">
Drama, Romance            </span>"
Walk a While in My Shoes,(1986–1988),"<span class=""genre"">
Comedy            </span>"
The Wrong Stuff,(1986–1988),"<span class=""genre"">
Comedy            </span>"
Ol' Green Eyes Is Back,(1986–1988),"<span class=""genre"">
Comedy            </span>"
Macaroni & Me,(1988),"<span class=""genre"">
Short            </span>"
Ogre Baby Boom/The White Knight,(1985–1991),"<span class=""genre"">
Animation, Family, Fantasy            </span>"
Soldiers,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
Paradise Lost,(1987–1990),"<span class=""genre"">
Action, Drama, War            </span>"
"The Thrill of Agony, the Victory of Defeat",(1986–1988),"<span class=""genre"">
Comedy            </span>"
The Apartment,(1985–1990),"<span class=""genre"">
Comedy, Family            </span>"
Heather's Monk,(1985–1990),"<span class=""genre"">
Comedy, Family            </span>"
Duel,(1985–1990),"<span class=""genre"">
Comedy, Family            </span>"
The Secret of Parker House,(1985–1992),"<span class=""genre"">
Action, Adventure, Crime            </span>"
The Family Secret,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Don't Look Back: Part 2,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Blind Spot: Part 1,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Aloha,(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
"Yes, We Have No Havanas",(1985–1992),"<span class=""genre"">
Comedy, Drama            </span>"
Mother's Day,(1985–1992),"<span class=""genre"">
Comedy, Drama            </span>"
The Beginning of the Beginning,(1979–1988),"<span class=""genre"">
Comedy, Family            </span>"
Life with Father,(1987–1993),"<span class=""genre"">
Comedy            </span>"
Big Haas and Little Falsie,(1986–1993),"<span class=""genre"">
Comedy            </span>"
The Big Kiss-Off,(1982–1993),"<span class=""genre"">
Comedy, Drama            </span>"
"Norm, Is That You?",(1982–1993),"<span class=""genre"">
Comedy, Drama            </span>"
Freedom One,(1987–1988),"<span class=""genre"">
Action, Sci-Fi            </span>"
A Summoning of Thunder: Part 2,(1987–1988),"<span class=""genre"">
Action, Sci-Fi            </span>"
Promises of Someday,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
Ozymandias,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
Everything Is Everything,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
The Making of a Legend: Gone with the Wind,(1988 TV Movie),"<span class=""genre"">
Documentary            </span>"
"Paul Simon, Graceland: The African Concert",(1988 TV Special),"<span class=""genre"">
Documentary, Music            </span>"
Wanton Sinner,(1988),"<span class=""genre"">
Short, Comedy, Crime            </span>"
Thy Kingdom Come... Thy Will Be Done,(1988),"<span class=""genre"">
Documentary            </span>"
The Trial of Standing Bear,(1988 TV Movie),"<span class=""genre"">
Drama            </span>"
War and Remembrance,(1988–1989),"<span class=""genre"">
Drama, War            </span>"
Not Since Casanova,(1988),"<span class=""genre"">
Comedy            </span>"
Big Time,(1988),"<span class=""genre"">
Documentary, Music            </span>"
The Wonder Years,(1988–1993),"<span class=""genre"">
Comedy, Drama, Family            </span>"
Danzig: Mother,(1988 Video),"<span class=""genre"">
Short, Music            </span>"
Living Colour: Cult of Personality,(1988 Video),"<span class=""genre"">
Short, Music            </span>"
Jim Fowler/Bob Nelson/Teresa Ganzel,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Michael Jackson: Man in the Mirror,(1988 Video),"<span class=""genre"">
Short, Music            </span>"
Dana Carvey/Joe Garagiola/David Teitelbaum & Jack Saltzberg,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Rashomon,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
The Bridge Project: Bridge/Moct,(1988 Video),"<span class=""genre"">
Short, Music            </span>"
Up a Lazy River: Part 2,(1986–1993),"<span class=""genre"">
Comedy, Family            </span>"
"Sherlock Holmes in the 23rd Century, Part 1",(1987–1989),"<span class=""genre"">
Animation, Action, Family            </span>"
Blast from the Past,(1987–1991),"<span class=""genre"">
Comedy, Family            </span>"
48 Hours,(1986–1991),"<span class=""genre"">
Comedy, Family            </span>"
A Day in the Lives,(1986–1988),"<span class=""genre"">
Comedy            </span>"
Young Country,(1988 Video),"<span class=""genre"">
Short, Music            </span>"
Family Reunion: A Gospel Music Celebration,(1988 TV Movie),"<span class=""genre"">
Documentary, Music            </span>"
When You Hear the Beep,(1985–1989),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Just Desserts,(1986–1993),"<span class=""genre"">
Comedy, Family            </span>"
Heart of Darkness,(1988–1993),"<span class=""genre"">
Comedy, Drama, Family            </span>"
Angel,(1988–1993),"<span class=""genre"">
Comedy, Drama, Family            </span>"
"Elementary, Dear Data",(1987–1994),"<span class=""genre"">
Action, Adventure, Mystery            </span>"
Conspiracy,(1987–1994),"<span class=""genre"">
Action, Adventure, Mystery            </span>"
To Be or Not to Be,(1986–1993),"<span class=""genre"">
Comedy, Family            </span>"
The Gift of the Mypiot,(1986–1993),"<span class=""genre"">
Comedy, Family            </span>"
"Snow White, Blood Red",(1984–1996),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Hooky,(1985–1990),"<span class=""genre"">
Comedy, Family            </span>"
A Necessary Evil,(1988–1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
The Whole Nine Yards,(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
"Heaven Nose, Mister Smith",(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
Country Doctor,(1984–1989),"<span class=""genre"">
Drama, Fantasy            </span>"
Less Than Perfect,(1979–1988),"<span class=""genre"">
Comedy, Family            </span>"
Brothel Wars,(1986–1988),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
And God Created Woodman,(1982–1993),"<span class=""genre"">
Comedy, Drama            </span>"
The Eden Road,(1987–1988),"<span class=""genre"">
Action, Sci-Fi            </span>"
Fever,(1987–1990),"<span class=""genre"">
Crime, Fantasy, Drama            </span>"
A New Chapter,(1978–1990),"<span class=""genre"">
Comedy, Drama            </span>"
Nelson Sullivan's Video Diaries,(1989 Video),"<span class=""genre"">
Documentary, Biography            </span>"
Macy's Thanksgiving Day Parade,(1989 TV Special),"<span class=""genre"">
Family, Music            </span>"
Looking Your Best,(1989),
The Film Society of Lincoln Center Annual Gala Tribute to Bette Davis,(1989 TV Special),"<span class=""genre"">
Reality-TV            </span>"
Steven Banks: Home Entertainment Center,(1989 TV Special),"<span class=""genre"">
Comedy            </span>"
Take Willy with Ya,(1989),"<span class=""genre"">
Documentary            </span>"
"Def Leppard - Live: In The Round, In Your Face",(1989 Video),"<span class=""genre"">
Music            </span>"
Leo Kottke: Home & Away,(1989 TV Movie),"<span class=""genre"">
Documentary, Music            </span>"
Yours to Keep,(1989),"<span class=""genre"">
Documentary            </span>"
